year,institute_original,institute_norm,rank,score,perception,institute,rank_prev,score_prev,rank_change,score_change,volatility,perception_gap
2017,Tamil Nadu Agricultural University,tamil nadu agricultural university,28.0,48.84,3.53,Tamil Nadu Agricultural University,,,,,25.7,45.31
2018,Tamil Nadu Agricultural University,tamil nadu agricultural university,40.0,49.22,12.07,Tamil Nadu Agricultural University,28.0,48.84,-12.0,0.38,25.7,37.15
2019,Tamil Nadu Agricultural University,tamil nadu agricultural university,68.0,45.41,11.52,Tamil Nadu Agricultural University,40.0,49.22,-28.0,-3.81,25.7,33.89
2023,Tamil Nadu Agricultural University,tamil nadu agricultural university,93.0,46.33,10.45,Tamil Nadu Agricultural University,68.0,45.41,-25.0,0.92,25.7,35.88
2025,Tamil Nadu Agricultural University,tamil nadu agricultural university,88.0,50.03,7.45,Tamil Nadu Agricultural University,93.0,46.33,5.0,3.7,25.7,42.58
2017,Tamil Nadu Veterinary & Animal Sciences University,tamil nadu veterinary animal sciences university,60.0,42.48,0.67,Tamil Nadu Veterinary & Animal Sciences University,,,,,16.98,41.81
2018,Tamil Nadu Veterinary & Animal Sciences University,tamil nadu veterinary animal sciences university,92.0,41.73,3.93,Tamil Nadu Veterinary & Animal Sciences University,60.0,42.48,-32.0,-0.75,16.98,37.8
2019,Tamil Nadu Veterinary & Animal Sciences University,tamil nadu veterinary animal sciences university,99.0,40.88,2.02,Tamil Nadu Veterinary & Animal Sciences University,92.0,41.73,-7.0,-0.85,16.98,38.86
2017,TATA Institute of Social Sciences,tata institute of social sciences,49.0,43.71,23.31,TATA Institute of Social Sciences,,,,,17.31,20.4
2018,Tata Institute of Social Sciences,tata institute of social sciences,49.0,47.46,10.18,Tata Institute of Social Sciences,49.0,43.71,0.0,3.75,17.31,37.28
2019,Tata Institute of Social Sciences,tata institute of social sciences,56.0,46.82,12.14,Tata Institute of Social Sciences,49.0,47.46,-7.0,-0.64,17.31,34.68
2020,Tata Institute of Social Sciences,tata institute of social sciences,70.0,45.63,8.71,Tata Institute of Social Sciences,56.0,46.82,-14.0,-1.19,17.31,36.92
2021,Tata Institute of Social Sciences,tata institute of social sciences,70.0,45.63,8.71,Tata Institute of Social Sciences,70.0,45.63,0.0,0.0,17.31,36.92
2022,Tata Institute of Social Sciences,tata institute of social sciences,99.0,44.52,11.75,Tata Institute of Social Sciences,70.0,45.63,-29.0,-1.11,17.31,32.77
2017,Tezpur University,tezpur university,48.0,43.78,7.09,Tezpur University,,,,,16.67,36.69
2018,Tezpur University,tezpur university,46.0,48.0,10.82,Tezpur University,48.0,43.78,2.0,4.22,16.67,37.18
2019,Tezpur University,tezpur university,48.0,48.47,15.71,Tezpur University,46.0,48.0,-2.0,0.47,16.67,32.76
2020,Tezpur University,tezpur university,73.0,45.22,11.62,Tezpur University,48.0,48.47,-25.0,-3.25,16.67,33.6
2021,Tezpur University,tezpur university,73.0,45.22,11.62,Tezpur University,73.0,45.22,0.0,0.0,16.67,33.6
2022,Tezpur University,tezpur university,90.0,45.59,16.97,Tezpur University,73.0,45.22,-17.0,0.37,16.67,28.62
2018,Thapar Institute of Engineering and Technology,thapar institute of engineering and technology,50.0,47.11,3.55,Thapar Institute of Engineering and Technology,,,,,4.92,43.56
2020,Thapar Institute of Engineering and Technology,thapar institute of engineering and technology,45.0,48.83,19.32,Thapar Institute of Engineering and Technology,50.0,47.11,5.0,1.72,4.92,29.51
2021,Thapar Institute of Engineering and Technology,thapar institute of engineering and technology,45.0,48.83,19.32,Thapar Institute of Engineering and Technology,45.0,48.83,0.0,0.0,4.92,29.51
2022,Thapar Institute of Engineering and Technology,thapar institute of engineering and technology,57.0,49.65,16.21,Thapar Institute of Engineering and Technology,45.0,48.83,-12.0,0.82,4.92,33.44
2019,Thapar Institute of Engineering and Technology (Deemed-to-be-university),thapar institute of engineering and technology deemed to be university,45.0,49.27,10.24,Thapar Institute of Engineering and Technology (Deemed-to-be-university),,,,,2.16,39.03
2023,Thapar Institute of Engineering and Technology (Deemed-to-be-university),thapar institute of engineering and technology deemed to be university,40.0,55.17,8.15,Thapar Institute of Engineering and Technology (Deemed-to-be-university),45.0,49.27,5.0,5.9,2.16,47.02
2025,Thapar Institute of Engineering and Technology (Deemed-to-be-university),thapar institute of engineering and technology deemed to be university,44.0,56.21,11.36,Thapar Institute of Engineering and Technology (Deemed-to-be-university),40.0,55.17,-4.0,1.04,2.16,44.85
2017,Thapar University,thapar university,75.0,40.78,13.17,Thapar University,,,,,0.0,27.61
2018,Thiagarajar College of Engineering,thiagarajar college of engineering,95.0,41.41,14.46,Thiagarajar College of Engineering,,,,,0.0,26.95
2018,University of Agricultural Sciences,university of agricultural sciences,85.0,42.55,1.22,University of Agricultural Sciences,,,,,0.0,41.33
2017,University of Delhi,university of delhi,15.0,55.37,30.76,University of Delhi,,,,,3.16,24.61
2018,University of Delhi,university of delhi,14.0,58.69,33.15,University of Delhi,15.0,55.37,1.0,3.32,3.16,25.54
2019,University of Delhi,university of delhi,20.0,57.59,41.11,University of Delhi,14.0,58.69,-6.0,-1.1,3.16,16.48
2020,University of Delhi,university of delhi,19.0,56.03,44.81,University of Delhi,20.0,57.59,1.0,-1.56,3.16,11.22
2021,University of Delhi,university of delhi,19.0,56.03,44.81,University of Delhi,19.0,56.03,0.0,0.0,3.16,11.22
2022,University of Delhi,university of delhi,23.0,57.63,45.93,University of Delhi,19.0,56.03,-4.0,1.6,3.16,11.7
2023,University of Delhi,university of delhi,22.0,60.24,39.84,University of Delhi,23.0,57.63,1.0,2.61,3.16,20.4
2025,University of Delhi,university of delhi,15.0,66.19,40.55,University of Delhi,22.0,60.24,7.0,5.95,3.16,25.64
2017,University of Hyderabad,university of hyderabad,14.0,56.3,27.06,University of Hyderabad,,,,,4.74,29.24
2018,University of Hyderabad,university of hyderabad,11.0,60.54,21.66,University of Hyderabad,14.0,56.3,3.0,4.24,4.74,38.88
2019,University of Hyderabad,university of hyderabad,11.0,61.85,36.71,University of Hyderabad,11.0,60.54,0.0,1.31,4.74,25.14
2020,University of Hyderabad,university of hyderabad,17.0,57.67,32.13,University of Hyderabad,11.0,61.85,-6.0,-4.18,4.74,25.54
2021,University of Hyderabad,university of hyderabad,17.0,57.67,32.13,University of Hyderabad,17.0,57.67,0.0,0.0,4.74,25.54
2022,University of Hyderabad,university of hyderabad,20.0,59.67,31.99,University of Hyderabad,17.0,57.67,-3.0,2.0,4.74,27.68
2023,University of Hyderabad,university of hyderabad,20.0,60.49,26.83,University of Hyderabad,20.0,59.67,0.0,0.82,4.74,33.66
2025,University of Hyderabad,university of hyderabad,26.0,60.32,29.68,University of Hyderabad,20.0,60.49,-6.0,-0.17,4.74,30.64
2018,University of Jammu,university of jammu,77.0,43.19,1.22,University of Jammu,,,,,6.6,41.97
2022,University of Jammu,university of jammu,93.0,45.11,2.74,University of Jammu,77.0,43.19,-16.0,1.92,6.6,42.37
2025,University of Jammu,university of jammu,87.0,50.11,3.52,University of Jammu,93.0,45.11,6.0,5.0,6.6,46.59
2018,University of Kashmir,university of kashmir,71.0,43.96,0.0,University of Kashmir,,,,,9.19,43.96
2019,University of Kashmir,university of kashmir,79.0,44.19,1.63,University of Kashmir,71.0,43.96,-8.0,0.23,9.19,42.56
2020,University of Kashmir,university of kashmir,76.0,44.64,2.18,University of Kashmir,79.0,44.19,3.0,0.45,9.19,42.46
2021,University of Kashmir,university of kashmir,76.0,44.64,2.18,University of Kashmir,76.0,44.64,0.0,0.0,9.19,42.46
2022,University of Kashmir,university of kashmir,84.0,45.98,3.78,University of Kashmir,76.0,44.64,-8.0,1.34,9.19,42.2
2023,University of Kashmir,university of kashmir,58.0,50.77,2.77,University of Kashmir,84.0,45.98,26.0,4.79,9.19,48.0
2025,University of Kashmir,university of kashmir,59.0,54.31,6.07,University of Kashmir,58.0,50.77,-1.0,3.54,9.19,48.24
2017,University of Madras,university of madras,64.0,41.85,10.82,University of Madras,,,,,15.11,31.03
2018,University of Madras,university of madras,29.0,51.52,26.52,University of Madras,64.0,41.85,35.0,9.67,15.11,25.0
2019,University of Madras,university of madras,33.0,51.34,30.01,University of Madras,29.0,51.52,-4.0,-0.18,15.11,21.33
2020,University of Madras,university of madras,47.0,48.66,20.25,University of Madras,33.0,51.34,-14.0,-2.68,15.11,28.41
2021,University of Madras,university of madras,47.0,48.66,20.25,University of Madras,47.0,48.66,0.0,0.0,15.11,28.41
2022,University of Madras,university of madras,70.0,48.01,18.45,University of Madras,47.0,48.66,-23.0,-0.65,15.11,29.56
2023,University of Madras,university of madras,65.0,49.93,14.39,University of Madras,70.0,48.01,5.0,1.92,15.11,35.54
2025,University of Madras,university of madras,68.0,52.89,21.76,University of Madras,65.0,49.93,-3.0,2.96,15.11,31.13
2022,University of Petroleum and Energy Studies,university of petroleum and energy studies,97.0,44.65,31.99,University of Petroleum and Energy Studies,,,,,0.0,12.66
2023,UPES,upes,79.0,48.34,34.47,UPES,,,,,7.5,13.87
2025,UPES,upes,64.0,53.22,19.52,UPES,79.0,48.34,15.0,4.88,7.5,33.7
2017,Vellore Institute of Technology,vellore institute of technology,22.0,51.36,32.95,Vellore Institute of Technology,,,,,4.3,18.41
2018,Vellore Institute of Technology,vellore institute of technology,24.0,52.68,36.71,Vellore Institute of Technology,22.0,51.36,-2.0,1.32,4.3,15.97
2019,Vellore Institute of Technology,vellore institute of technology,32.0,51.44,35.31,Vellore Institute of Technology,24.0,52.68,-8.0,-1.24,4.3,16.13
2020,Vellore Institute of Technology,vellore institute of technology,21.0,55.39,38.8,Vellore Institute of Technology,32.0,51.44,11.0,3.95,4.3,16.59
2021,Vellore Institute of Technology,vellore institute of technology,21.0,55.39,38.8,Vellore Institute of Technology,21.0,55.39,0.0,0.0,4.3,16.59
2022,Vellore Institute of Technology,vellore institute of technology,18.0,60.14,45.74,Vellore Institute of Technology,21.0,55.39,3.0,4.75,4.3,14.4
2023,Vellore Institute of Technology,vellore institute of technology,17.0,62.7,45.71,Vellore Institute of Technology,18.0,60.14,1.0,2.56,4.3,16.99
2025,Vellore Institute of Technology,vellore institute of technology,21.0,62.88,41.16,Vellore Institute of Technology,17.0,62.7,-4.0,0.18,4.3,21.72
2017,Visva Bharati,visva bharati,31.0,48.19,4.71,Visva Bharati,,,,,26.53,43.48
2018,Visva Bharati,visva bharati,48.0,47.62,5.03,Visva Bharati,31.0,48.19,-17.0,-0.57,26.53,42.59
2019,Visva Bharati,visva bharati,59.0,46.27,11.52,Visva Bharati,48.0,47.62,-11.0,-1.35,26.53,34.75
2020,Visva Bharati,visva bharati,97.0,41.74,6.22,Visva Bharati,59.0,46.27,-38.0,-4.53,26.53,35.52
2021,Visva Bharati,visva bharati,97.0,41.74,6.22,Visva Bharati,97.0,41.74,0.0,0.0,26.53,35.52
2020,Visvesvaraya National Institute of Technology,visvesvaraya national institute of technology,54.0,46.98,15.39,Visvesvaraya National Institute of Technology,,,,,0.0,31.59
2021,Visvesvaraya National Institute of Technology,visvesvaraya national institute of technology,54.0,46.98,15.39,Visvesvaraya National Institute of Technology,54.0,46.98,0.0,0.0,0.0,31.59
2022,"Visvesvaraya National Institute of Technology, Nagpur",visvesvaraya national institute of technology nagpur,68.0,48.05,6.29,"Visvesvaraya National Institute of Technology, Nagpur",,,,,7.72,41.76
2023,"Visvesvaraya National Institute of Technology, Nagpur",visvesvaraya national institute of technology nagpur,82.0,48.15,9.15,"Visvesvaraya National Institute of Technology, Nagpur",68.0,48.05,-14.0,0.1,7.72,39.0
2025,"Visvesvaraya National Institute of Technology, Nagpur",visvesvaraya national institute of technology nagpur,86.0,50.14,12.59,"Visvesvaraya National Institute of Technology, Nagpur",82.0,48.15,-4.0,1.99,7.72,37.55
2022,Visvesvaraya Technological University,visvesvaraya technological university,100.0,44.35,4.3,Visvesvaraya Technological University,,,,,4.0,40.05
2023,Visvesvaraya Technological University,visvesvaraya technological university,92.0,46.48,3.53,Visvesvaraya Technological University,100.0,44.35,8.0,2.13,4.0,42.95
